Date,Account,Sentiment,Total PnL,Avg PnL,Avg Normalized PnL,Win Rate,Avg Trade Size
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,0.0,0.0,0.0,5556.203333333334
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-205.43473700000007,-18.675885181818188,-0.0020717404134800127,0.36363636363636365,10291.213636363636
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-24.632033999999997,-12.316016999999999,-0.002321597769663352,0.0,5304.975
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,0.0,0.0,0.0,5116.256666666667
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,304.982785,21.78448464285714,0.004057881709075279,0.5,8305.572857142857
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,0.0,0.0,0.0,0.0,15582.089999999998
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1000.5386120000001,66.70257413333334,0.007658415003579539,0.6666666666666666,6106.827333333334
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,162.732282,9.040682333333333,0.0012013733434373113,0.4444444444444444,7868.710555555556
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,537.211402,10.963498000000001,0.00466746125560636,0.5306122448979592,2555.795306122449
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,141.832675,14.1832675,0.0009595671707189983,0.2,8887.428
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,146.936704,11.302823384615383,0.0017538137926005257,0.6153846153846154,6033.711538461538
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,1008.619956,25.862050153846155,0.004531319576979977,0.38461538461538464,10332.177948717948
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-245.081348,-81.69378266666666,-0.0027366588668944597,0.0,19982.836666666666
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-704.8892269999999,-25.174615249999995,-0.0033862609924979674,0.14285714285714285,6121.823571428571
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-970.730876,-42.20569026086957,-0.011600596335957758,0.0,4352.923913043478
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,508.92214299999995,10.178442859999999,0.0012268535230861403,0.3,11391.1944
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,354.998648,6.826897076923077,0.0020504945567283617,0.4423076923076923,13510.58096153846
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-129.53146,-7.196192222222223,-0.0013542542013334014,0.05555555555555555,14679.973888888888
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,783.979116,46.11641858823529,0.058406688213570424,0.47058823529411764,7138.1611764705885
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,866.015507,12.925604582089552,0.002397618047402873,0.417910447761194,5888.050149253731
2024-01-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-67.60364,-13.520728,-0.0008049009995165649,0.0,19958.508
2024-01-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,164.141565,2.486993409090909,0.00011133406490559335,0.19696969696969696,25817.31303030303
2024-01-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,135.58166400000002,6.16280290909091,0.0010863750195206157,0.45454545454545453,13569.154545454547
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-835.681235,-8.615270463917525,-0.001465990097044104,0.09278350515463918,10812.887216494846
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-269.874439,-2.1083940546875,-0.001116897642103267,0.25,11894.159609375
2024-01-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-826.349863,-11.804998042857143,-0.0017713842539972236,0.2571428571428571,12429.313857142857
2024-01-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-1517.091342,-7.860576901554404,0.0010943820166948053,0.21243523316062177,10660.515440414507
2024-01-11,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,-164.08950099999998,-8.636289526315789,-0.0006027860597449648,0.2631578947368421,13641.064736842105
